id,Name,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo
0,Super Glider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Cloud Glider,-0.25,0.0,-0.25,0.25,0.25,-0.25,0.0,0.0,0.25,0.0,0.0,0.25
5,Wario Wing,0.0,-0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,-0.25,-0.25,0.0
9,Waddle Wing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Peach Parasol,-0.25,-0.25,-0.25,0.25,0.25,0.0,0.0,0.25,0.25,-0.25,-0.25,0.25
17,Parachute,-0.25,0.0,-0.25,0.25,0.25,-0.25,0.0,0.0,0.25,0.0,0.0,0.25
21,Parafoil,-0.25,-0.25,-0.25,0.25,0.25,0.0,0.0,0.25,0.25,-0.25,-0.25,0.25
25,Flower Glider,-0.25,0.0,-0.25,0.25,0.25,-0.25,0.0,0.0,0.25,0.0,0.0,0.25
29,Bowser Kite,-0.25,-0.25,-0.25,0.25,0.25,0.0,0.0,0.25,0.25,-0.25,-0.25,0.25
33,Plane Glider,0.0,-0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,-0.25,-0.25,0.0
37,MKTV Parafoil,-0.25,-0.25,-0.25,0.25,0.25,0.0,0.0,0.25,0.25,-0.25,-0.25,0.25
41,Gold Glider,0.0,-0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,-0.25,-0.25,0.0
45,Hylian Kite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Paper Glider,-0.25,0.0,-0.25,0.25,0.25,-0.25,0.0,0.0,0.25,0.0,0.0,0.25
