id,Name,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo
0,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Monster,0.0,-0.25,-0.5,0.0,-0.5,0.5,-0.75,-0.5,-0.5,-0.75,0.5,-0.25
6,Roller,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.25,0.25,0.25,0.25,-0.25,0.75
10,Slim,0.25,-0.25,-0.25,0.5,-0.5,0.0,0.25,0.25,0.25,0.0,-1.0,-0.25
14,Slick,0.5,-0.75,-0.75,0.5,-0.75,0.25,-0.25,-0.75,-0.5,-0.25,-1.25,-0.75
18,Metal,0.5,0.0,-0.25,-0.25,-1.0,0.5,-0.25,-0.25,-0.75,-0.5,-0.75,-0.75
22,Button,-0.25,-0.25,-0.25,0.0,0.25,-0.5,0.0,0.0,-0.25,0.25,-0.5,0.5
26,Off-Road,0.25,0.25,-0.5,0.0,-0.25,0.25,-0.5,-0.5,-0.5,-0.25,0.25,-0.5
30,Sponge,-0.25,-0.5,0.25,-0.25,0.0,-0.25,-0.25,-0.5,0.0,0.0,0.25,0.25
34,Wooden,0.25,-0.25,-0.25,0.5,-0.5,0.0,0.25,0.25,0.25,0.0,-1.0,-0.25
39,Cushion,-0.25,-0.5,0.25,-0.25,0.0,-0.25,-0.25,-0.5,0.0,-0.25,0.25,0.25
43,Normal Blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Funky Monster,0.0,-0.25,-0.5,0.0,-0.5,0.5,-0.75,-0.5,-0.5,-0.75,0.5,-0.25
53,Azure Roller,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.25,0.25,0.25,0.25,-0.25,0.75
57,Crimson Slim,0.25,-0.25,-0.25,0.5,-0.5,0.0,0.25,0.25,0.25,0.0,-1.0,-0.25
61,Cyber Slick,0.5,-0.75,-0.75,0.5,-0.75,0.25,-0.25,-0.75,-0.5,-0.25,-1.25,-0.75
65,Retro Off-Road,0.25,0.25,-0.5,0.0,-0.25,0.25,-0.5,-0.5,-0.25,-0.25,0.25,-0.5
69,Gold Wheels,0.5,0.0,-0.25,-0.25,-1.0,0.5,-0.25,-0.25,-0.75,-0.5,-0.75,-0.75
74,GLA Wheels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Triforce Tyres,0.25,0.25,-0.5,0.0,-0.25,0.25,-0.5,-0.5,-0.25,-0.25,0.25,-0.5
84,Leaf Tyres,-0.25,-0.25,-0.25,0.0,0.25,-0.5,0.0,0.0,-0.25,0.25,-0.5,0.5
