id,Name,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo
0,Standard Kart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Pipe Frame,-0.5,0.0,-0.5,-0.5,0.5,-0.25,0.5,0.5,-0.25,0.25,0.25,0.5
2,Mach 8,0.0,0.0,0.25,0.5,-0.25,0.25,-0.25,0.0,-0.25,0.25,0.25,0.0
3,Steel Driver,0.25,0.5,-0.75,-0.25,-0.75,0.5,-0.5,0.75,-0.5,-0.5,0.0,-0.5
4,Cat Cruiser,-0.25,-0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25
5,Circuit Special,0.5,-0.5,-0.25,0.25,-0.75,0.25,-0.5,-0.25,-0.75,-0.25,-0.5,-0.75
6,Tri-Speeder,0.25,0.5,-0.75,-0.25,-0.75,0.5,-0.5,0.75,-0.5,-0.5,0.0,-0.5
7,Badwagon,0.5,-0.25,-0.5,0.0,-1.0,0.5,-0.75,-0.25,-0.75,-0.5,0.5,-1.0
8,Prancer,0.25,0.0,0.0,0.0,-0.5,-0.25,0.0,0.25,0.0,-0.25,-0.25,-0.25
9,Buggybud,-0.75,-0.5,-0.5,-0.25,0.75,-0.5,0.5,0.5,0.25,0.5,0.25,0.75
10,Landship,-0.5,0.5,-0.25,-0.75,0.5,-0.5,0.25,0.75,0.0,-0.25,0.75,0.5
11,Bounder,0.25,-0.25,0.0,0.0,-0.5,0.0,0.0,0.0,-0.25,0.0,-0.75,-0.25
12,Sports Coupé,0.0,0.0,0.25,0.5,-0.25,0.25,-0.25,0.0,-0.25,0.25,0.25,0.0
13,Gold Kart,0.25,-0.25,0.0,0.0,-0.5,0.0,0.0,0.0,-0.25,0.0,-0.75,-0.25
14,GLA,0.5,-0.25,-0.5,0.0,-1.0,0.5,-0.75,-0.25,-0.75,-0.5,0.5,-1.0
15,W 25 Silver Arrow,-0.25,-0.25,0.0,0.25,0.25,-0.25,0.25,0.25,0.0,0.25,0.5,0.25
16,300 SL Roadster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Blue Falcon,0.25,-0.25,0.0,0.25,-0.25,-0.5,-0.25,0.25,-0.5,0.5,0.0,-0.25
18,Tanooki Kart,-0.25,0.25,0.0,0.0,-0.5,0.25,0.25,0.5,0.0,0.0,1.0,-0.25
19,B Dasher,0.5,-0.5,-0.25,0.25,-0.75,0.25,-0.5,-0.25,-0.75,-0.25,-0.5,-0.75
20,Streetle,-0.5,0.5,-0.25,-0.75,0.5,-0.5,0.25,0.75,0.0,-0.25,0.75,0.5
21,P-Wing,0.5,-0.5,-0.25,0.25,-0.75,0.25,-0.5,-0.25,-0.75,-0.25,-0.5,-0.75
22,Koopa Clown,-0.25,0.25,0.0,0.0,-0.5,0.25,0.25,0.5,0.0,0.0,1.0,-0.25
23,Standard Bike,-0.25,-0.25,0.0,0.25,0.25,-0.25,0.25,0.25,0.0,0.25,0.5,0.25
24,Comet+,-0.25,-0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25
25,Sport Bike+,0.25,0.0,0.0,0.0,-0.5,-0.25,0.0,0.25,0.0,-0.25,-0.25,-0.25
26,The Duke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Flame Rider,-0.25,-0.25,0.0,0.25,0.25,-0.25,0.25,0.25,0.0,0.25,0.5,0.25
28,Varmint,-0.5,0.0,-0.5,-0.5,0.5,-0.25,0.5,0.5,-0.25,0.25,0.25,0.5
29,Mr Scooty,-0.75,-0.5,-0.5,-0.25,0.75,-0.5,0.5,0.5,0.25,0.5,0.25,0.75
30,Jet Bike+,0.25,0.0,0.0,0.0,-0.5,-0.25,0.0,0.25,0.0,-0.25,-0.25,-0.25
31,Yoshi Bike+,-0.25,-0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25
32,Master Cycle+,0.25,-0.25,0.0,0.0,-0.5,0.0,0.0,0.0,-0.25,0.0,-0.75,-0.25
33,City Tripper,-0.5,0.0,-0.5,-0.5,0.5,-0.25,0.5,0.5,-0.25,0.25,0.25,0.5
34,Standard Quad,0.5,-0.25,-0.5,0.0,-1.0,0.5,-0.75,-0.25,-0.75,-0.5,0.5,-1.0
35,Wild Wiggler,-0.25,-0.25,0.0,0.25,0.25,-0.25,0.25,0.25,0.0,0.25,0.5,0.25
36,Teddy Buggy,-0.25,-0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25
37,Bone Rattler,0.25,0.5,-0.75,-0.25,-0.75,0.5,-0.5,0.75,-0.5,-0.5,0.0,-0.5
38,Splat Buggy,0.25,-0.25,0.0,0.25,-0.25,-0.5,-0.25,0.25,-0.5,0.5,0.0,-0.25
39,Inkstriker,0.0,0.0,0.25,0.5,-0.25,0.25,-0.25,0.0,-0.25,0.25,0.25,0.0
